Quantity,UnitPrice,ItemsInCart,TotalPrice
2.0,536.25,3.0,1072.5
,456.04,4.0,912.08
2.0,,4.0,80.46
2.0,72.39,7.0,144.78
2.0,394.16,2.0,788.32
4.0,119.84,8.0,479.36
3.0,692.71,3.0,2078.13
,,4.0,226.64
2.0,298.53,5.0,597.06
,331.46,6.0,994.38
2.0,521.4,7.0,1042.8
4.0,305.32,4.0,1221.28
5.0,111.7,9.0,558.5
1.0,479.76,1.0,479.76
3.0,193.49,6.0,580.47
2.0,426.22,7.0,852.44
,276.44,10.0,1382.2
,404.96,4.0,809.92
4.0,465.66,9.0,1862.64
2.0,594.07,2.0,1188.14
5.0,110.38,10.0,551.9
1.0,596.24,4.0,596.24
2.0,306.24,4.0,612.48
3.0,503.39,5.0,1510.17
1.0,131.61,2.0,131.61
3.0,,3.0,1330.32
1.0,408.13,,408.13
2.0,,3.0,321.96
,643.89,8.0,3219.45
3.0,158.66,7.0,475.98
2.0,143.82,6.0,287.64
,379.07,3.0,1137.21
1.0,601.36,1.0,601.36
2.0,142.08,4.0,284.16
5.0,530.34,9.0,2651.7
5.0,364.42,10.0,1822.1
4.0,578.28,5.0,2313.12
5.0,280.52,7.0,1402.6
5.0,,5.0,3194.6
4.0,412.2,6.0,1648.8
1.0,440.34,2.0,440.34
1.0,627.15,5.0,627.15
2.0,,4.0,1210.52
1.0,90.27,5.0,90.27
5.0,230.77,10.0,1153.85
,266.78,5.0,1333.9
1.0,105.92,6.0,105.92
3.0,589.3,6.0,1767.9
,649.47,8.0,2597.88
4.0,107.49,,429.96
3.0,669.06,7.0,2007.18
3.0,69.65,7.0,208.95
4.0,136.83,8.0,547.32
,,,304.11
,296.28,5.0,1185.12
1.0,77.64,,77.64
1.0,243.71,6.0,243.71
4.0,644.96,7.0,2579.84
5.0,283.73,8.0,1418.65
2.0,629.56,,1259.12
4.0,246.11,4.0,984.44
2.0,418.26,2.0,836.52
5.0,127.18,10.0,635.9
3.0,586.21,4.0,1758.63
3.0,267.45,5.0,802.35
4.0,,9.0,2462.6
,113.29,5.0,226.58
4.0,473.86,7.0,1895.44
,444.75,6.0,1334.25
2.0,183.67,6.0,367.34
1.0,483.38,6.0,483.38
5.0,260.93,,1304.65
2.0,,,507.36
4.0,699.88,5.0,2799.52
5.0,,7.0,1599.85
4.0,246.91,8.0,987.64
3.0,392.85,6.0,1178.55
5.0,420.98,7.0,2104.9
2.0,73.26,4.0,146.52
3.0,410.88,8.0,1232.64
2.0,176.46,,352.92
3.0,659.57,6.0,1978.71
2.0,478.36,,956.72
4.0,,,120.2
,300.56,9.0,1202.24
5.0,226.45,6.0,1132.25
2.0,349.4,2.0,698.8
5.0,268.78,7.0,1343.9
2.0,680.85,6.0,1361.7
3.0,182.48,3.0,547.44
,,,277.09
2.0,26.5,3.0,53.0
3.0,315.27,4.0,945.81
3.0,,8.0,1352.94
5.0,233.67,,1168.35
3.0,,7.0,1103.25
1.0,23.53,2.0,23.53
1.0,677.48,1.0,677.48
4.0,554.83,6.0,2219.32
4.0,440.31,6.0,1761.24
1.0,87.06,4.0,87.06
,245.28,6.0,981.12
5.0,,8.0,3322.55
1.0,618.68,6.0,618.68
,370.85,2.0,370.85
,517.98,8.0,2071.92
4.0,506.11,5.0,2024.44
3.0,413.83,8.0,1241.49
1.0,249.81,1.0,249.81
,,5.0,1087.59
2.0,299.23,2.0,598.46
1.0,536.07,5.0,536.07
4.0,,9.0,2235.6
2.0,409.75,2.0,819.5
2.0,179.96,5.0,359.92
1.0,38.49,4.0,38.49
5.0,316.4,7.0,1582.0
3.0,,4.0,1641.45
,540.34,6.0,2161.36
4.0,73.65,9.0,294.6
,,,1959.3
5.0,,9.0,348.5
5.0,26.43,5.0,132.15
1.0,531.74,1.0,531.74
2.0,496.62,2.0,993.24
1.0,660.66,3.0,660.66
4.0,274.82,9.0,1099.28
2.0,486.35,6.0,972.7
3.0,428.88,3.0,1286.64
2.0,412.14,2.0,824.28
1.0,265.64,3.0,265.64
2.0,273.43,7.0,546.86
5.0,131.7,8.0,658.5
5.0,85.52,5.0,427.6
2.0,320.68,5.0,641.36
4.0,198.81,9.0,795.24
5.0,666.8,7.0,3330.4075
1.0,355.09,5.0,355.09
,316.2,2.0,632.4
1.0,133.39,2.0,133.39
1.0,454.23,3.0,454.23
4.0,,,1965.16
2.0,255.14,2.0,510.28
,392.61,4.0,392.61
,362.06,4.0,1448.24
1.0,222.73,4.0,222.73
2.0,552.63,7.0,1105.26
4.0,686.61,6.0,2746.44
3.0,305.16,8.0,915.48
1.0,41.09,4.0,41.09
5.0,,8.0,3170.0
5.0,464.74,7.0,2323.7
,425.6,5.0,1702.4
3.0,573.22,5.0,1719.66
1.0,,3.0,123.28
1.0,,1.0,70.82
2.0,646.69,7.0,1293.38
2.0,513.42,5.0,1026.84
4.0,693.07,,2772.28
3.0,491.43,,1474.29
2.0,599.74,2.0,1199.48
2.0,650.25,,1300.5
3.0,209.48,4.0,628.44
5.0,209.2,6.0,1046.0
4.0,197.36,9.0,789.44
4.0,,6.0,2595.64
2.0,,2.0,883.08
2.0,464.92,2.0,929.84
5.0,,7.0,2532.25
4.0,,7.0,1023.44
2.0,125.23,3.0,250.46
,38.11,6.0,190.55
3.0,161.97,4.0,485.91
4.0,347.17,8.0,1388.68
4.0,276.32,,1105.28
4.0,314.76,8.0,1259.04
3.0,475.69,3.0,1427.07
1.0,,6.0,372.8
2.0,63.21,4.0,126.42
1.0,,5.0,634.94
4.0,77.47,,309.88
3.0,84.31,3.0,252.93
4.0,234.45,,937.8
1.0,356.81,1.0,356.81
4.0,209.99,8.0,839.96
3.0,659.88,3.0,1979.64
2.0,,3.0,672.64
,531.49,,1062.98
3.0,588.44,8.0,1765.32
3.0,251.48,,754.44
,684.65,1.0,684.65
1.0,195.86,3.0,195.86
3.0,50.34,3.0,151.02
5.0,678.19,8.0,3330.4075
3.0,554.25,,1662.75
4.0,576.87,5.0,2307.48
4.0,408.36,,1633.44
,190.11,7.0,950.55
3.0,,6.0,1808.25
3.0,646.79,5.0,1940.37
4.0,,8.0,1674.84
2.0,323.45,5.0,646.9
1.0,,3.0,694.5
,337.32,4.0,674.64
2.0,467.91,5.0,935.82
4.0,,4.0,153.12
,73.41,,146.82
3.0,668.33,4.0,2004.99
4.0,410.21,5.0,1640.84
4.0,,4.0,1177.64
3.0,501.82,,1505.46
2.0,552.83,3.0,1105.66
3.0,,6.0,1495.98
4.0,,,2780.4
1.0,381.61,5.0,381.61
5.0,507.94,9.0,2539.7
3.0,571.53,6.0,1714.59
5.0,421.44,,2107.2
2.0,588.3,2.0,1176.6
1.0,355.15,2.0,355.15
2.0,,6.0,1390.58
4.0,302.65,8.0,1210.6
2.0,608.04,,1216.08
2.0,344.18,7.0,688.36
4.0,696.71,4.0,2786.84
3.0,198.63,,595.89
4.0,,6.0,2138.28
4.0,690.78,9.0,2763.12
3.0,,5.0,904.65
4.0,27.42,,109.68
,,8.0,1866.8
1.0,,5.0,541.64
,11.39,6.0,11.39
2.0,224.37,,448.74
3.0,306.29,7.0,918.87
5.0,315.57,6.0,1577.85
3.0,,3.0,671.37
3.0,,4.0,973.41
2.0,92.87,5.0,185.74
,331.42,6.0,662.84
1.0,525.43,2.0,525.43
2.0,697.19,7.0,1394.38
4.0,518.4,7.0,2073.6
3.0,131.96,8.0,395.88
1.0,208.36,4.0,208.36
3.0,222.34,5.0,667.02
3.0,91.74,8.0,275.22
2.0,213.83,2.0,427.66
,127.55,3.0,127.55
1.0,70.24,4.0,70.24
5.0,518.55,6.0,2592.75
4.0,298.36,8.0,1193.44
3.0,158.74,7.0,476.22
2.0,420.29,3.0,840.58
1.0,281.52,6.0,281.52
,204.08,4.0,204.08
1.0,343.31,6.0,343.31
1.0,163.32,6.0,163.32
,184.6,7.0,369.2
2.0,371.29,,742.58
5.0,389.22,7.0,1946.1
,616.39,6.0,1849.17
4.0,376.43,5.0,1505.72
3.0,432.85,4.0,1298.55
1.0,,1.0,687.89
,189.44,4.0,568.32
1.0,107.04,6.0,107.04
2.0,662.53,5.0,1325.06
2.0,,2.0,873.68
4.0,262.52,4.0,1050.08
,560.58,6.0,2242.32
